S_m	J_m	speciation_rate	death_proportion	trait_rate_meta	ecological_strength	generations	community_assembly_model	speciation_model	mutation_rate	alpha	sequence_length	J	m	speciation_prob	generation	_lambda	migrate_calculated	extrate_calculated	trait_rate_local	filtering_optimum	S	abund_h1	abund_h2	abund_h3	abund_h4	pi_h1	pi_h2	pi_h3	pi_h4	mean_pi	std_pi	skewness_pi	kurtosis_pi	median_pi	iqr_pi	dxy_h1	dxy_h2	dxy_h3	dxy_h4	mean_dxys	std_dxys	skewness_dxys	kurtosis_dxys	median_dxys	iqr_dxys	trait_h1	trait_h2	trait_h3	trait_h4	mean_local_traits	std_local_traits	skewness_local_traits	kurtosis_local_traits	median_local_traits	iqr_local_traits	mean_regional_traits	std_regional_traits	skewness_regional_traits	kurtosis_regional_traits	median_regional_traits	iqr_regional_traits	reg_loc_mean_trait_dif	reg_loc_std_trait_dif	reg_loc_skewness_trait_dif	reg_loc_kurtosis_trait_dif	reg_loc_median_trait_dif	reg_loc_iqr_trait_dif	abundance_dxy_cor	abundance_pi_cor	abundance_trait_cor	dxy_pi_cor	dxy_trait_cor	pi_trait_cor	SGD_0	SGD_1	SGD_2	SGD_3	SGD_4	SGD_5	SGD_6	SGD_7	SGD_8	SGD_9
100	750000	2.0	0.7	2.0	1.0	0.0	neutral	point_mutation	0.0	2000	570	1000.0	0.01	0.0	70.0	0.383	0.01011	0.002	0.58824	0.94822	14.0	3.05859	1.9141	1.67345	1.58419	7.6604	6.72504	6.12672	5.74154	0.00053	0.00055	0.86767	-0.34915	0.00035	0.0007	7.68667	5.78683	4.83016	4.3116	0.00529	0.0063	1.85894	3.0299	0.00342	0.00561	10.80554	6.84306	5.4255	4.75648	1.81859	1.81434	-0.74134	2.85204	2.04083	1.20542	1.96246	2.18696	-0.83148	0.49461	2.3752	1.83377	0.14387	0.37262	-0.09014	-2.35743	0.33437	0.62835	0.40825	0.7704	0.04	0.51829	-0.15402	-0.12208	5.0	0.0	3.0	1.0	2.0	0.0	1.0	0.0	1.0	1.0
100	750000	2.0	0.7	2.0	1.0	0.0	neutral	point_mutation	0.0	2000	570	1000.0	0.01	0.0	196.0	0.776	0.01003	0.00201	0.58824	-0.61122	15.0	7.07025	5.25547	4.43614	3.99155	4.95325	4.90471	4.85506	4.80506	0.00069	0.00098	0.80276	-1.20855	0.0	0.00181	9.33244	7.79094	6.86783	6.27753	0.00406	0.0039	1.11712	0.63666	0.00281	0.00491	8.00045	6.53188	5.86087	5.45176	-0.44446	1.4921	0.11623	-0.90145	-0.7111	1.93504	-0.54691	1.60148	0.19455	0.0877	-0.4709	2.0298	-0.10244	0.10938	0.07831	0.98915	0.2402	0.09477	0.44245	0.37556	0.26882	0.45024	-0.24731	0.15734	10.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	1.0	1.0
100	750000	2.0	0.7	2.0	1.0	0.0	neutral	point_mutation	0.0	2000	570	1000.0	0.01	0.0	51.0	0.187	0.01	0.00251	0.58824	1.53747	15.0	1.92807	1.33251	1.24502	1.2152	4.61536	4.27787	4.01077	3.81136	0.00035	0.00055	1.37795	0.66894	0.0	0.00066	7.19616	4.27794	3.2949	2.91475	0.00504	0.00798	3.07618	8.37071	0.00263	0.0043	7.09158	5.4451	5.15292	5.0441	1.72473	1.97223	-0.1427	0.58773	1.56395	2.22482	1.83406	2.48518	0.53381	0.33922	1.49121	3.25278	0.10932	0.51295	0.67652	-0.24851	-0.07274	1.02795	0.54741	0.62314	-0.35813	0.2375	-0.40072	-0.46139	10.0	0.0	0.0	1.0	2.0	0.0	0.0	1.0	0.0	1.0
100	750000	2.0	0.7	2.0	1.0	0.0	neutral	point_mutation	0.0	2000	570	1000.0	0.01	0.0	151.0	0.377	0.01009	0.00205	0.58824	0.43195	15.0	3.2121	1.84626	1.60566	1.52412	6.18521	5.2093	4.71157	4.43494	0.00058	0.0008	1.3573	0.51755	0.00035	0.00082	8.80869	7.46255	6.69558	6.21409	0.00461	0.00463	0.97406	-0.01053	0.00439	0.00596	9.10268	7.13802	6.58416	6.3163	3.06646	1.99474	-0.76439	0.21101	2.81457	3.10036	2.58838	2.21352	0.12428	-0.74773	2.43792	3.31385	-0.47808	0.21878	0.88866	-0.95874	-0.37665	0.21349	0.41367	0.76623	0.18638	0.58416	-0.17204	0.18142	7.0	3.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	2.0
100	750000	2.0	0.7	2.0	1.0	0.0	neutral	point_mutation	0.0	2000	570	1000.0	0.01	0.0	18.0	0.102	0.00889	0.00178	0.58824	3.59629	13.0	1.62671	1.19828	1.14628	1.12903	4.5032	4.0	3.59211	3.308	0.00018	0.00027	1.58444	1.89919	0.0	0.00035	7.94716	6.6402	5.92562	5.45817	0.00329	0.00322	1.00255	0.27639	0.00228	0.00491	10.90085	9.6289	9.28321	9.10064	-0.63813	3.01633	0.58547	-0.79041	-0.6155	4.20799	-1.09096	3.06577	0.14818	-0.88374	-0.83461	4.29912	-0.45283	0.04945	-0.43729	-0.09333	-0.2191	0.09113	0.67542	0.18418	0.23724	-0.0543	0.0055	-0.0319	8.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	1.0
100	750000	2.0	0.7	2.0	1.0	0.0	neutral	point_mutation	0.0	2000	570	1000.0	0.01	0.0	35.0	0.148	0.00931	0.00274	0.58824	-1.19426	11.0	1.7575	1.26934	1.199	1.17513	2.74587	2.52239	2.35245	2.23361	0.00014	0.00025	1.74987	1.88204	0.0	0.00018	7.12828	6.08297	5.43521	4.97906	0.00405	0.00364	0.92324	0.44224	0.00509	0.005	9.0477	7.04172	6.32295	5.96021	-2.3802	2.06241	0.3094	-0.99174	-2.33009	2.48856	-2.58291	1.98277	0.15771	-0.4978	-2.58276	3.00128	-0.2027	-0.07964	-0.15169	0.49394	-0.25267	0.51272	0.61188	0.44884	0.09133	0.12185	-0.21818	-0.15667	8.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0
100	750000	2.0	0.7	2.0	1.0	0.0	neutral	point_mutation	0.0	2000	570	1000.0	0.01	0.0	348.0	0.806	0.01011	0.0018	0.58824	1.67284	19.0	8.19083	5.95196	5.11165	4.66062	9.36323	7.70969	7.06589	6.74102	0.00185	0.00224	1.03676	-0.54927	0.00082	0.00304	12.10805	10.45203	9.72965	9.30877	0.00572	0.00517	0.48664	-1.27079	0.00386	0.00851	8.3488	6.42896	5.70197	5.31142	0.10961	2.78083	-0.37721	-0.69397	0.55407	3.0647	0.77728	2.60367	-0.14773	1.43935	0.91324	2.01387	0.66767	-0.17716	0.22948	2.13332	0.35917	-1.05084	0.55067	0.77829	0.31895	0.63213	0.54561	0.45127	7.0	6.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	2.0
100	750000	2.0	0.7	2.0	1.0	0.0	neutral	point_mutation	0.0	2000	570	1000.0	0.01	0.0	153.0	0.525	0.00999	0.00235	0.58824	-2.10075	15.0	4.28117	2.42447	2.01342	1.867	5.48775	4.61435	4.17513	3.94293	0.00076	0.00115	1.52676	0.93461	0.0	0.00082	9.20054	7.52728	6.67494	6.16032	0.00503	0.00501	1.08346	0.24004	0.00368	0.00623	7.5259	5.78136	5.32255	5.12248	-1.73384	1.84651	0.5847	-0.60913	-2.18274	2.72496	-1.39313	2.00505	0.16018	-0.45439	-1.31248	2.83263	0.34071	0.15854	-0.42452	0.15474	0.87026	0.10768	0.54073	0.75959	-0.12869	0.61833	0.19857	0.11063	8.0	2.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0
100	750000	2.0	0.7	2.0	1.0	0.0	neutral	point_mutation	0.0	2000	570	1000.0	0.01	0.0	119.0	0.522	0.01029	0.00187	0.58824	4.07167	19.0	4.77544	2.75555	2.26579	2.08018	6.38947	5.38566	4.84574	4.54703	0.00034	0.00054	1.68949	1.63683	0.0	0.00035	10.12434	7.33709	6.14733	5.54177	0.0032	0.00404	1.88817	2.78883	0.00193	0.00325	8.53883	5.70373	5.04755	4.79074	-0.42786	2.02649	-0.06728	-1.406	-0.26508	3.64705	-0.58734	2.2518	0.20597	-0.67624	-0.46008	3.73228	-0.15948	0.22531	0.27325	0.72976	-0.195	0.08523	0.38948	0.52013	-0.28597	0.03836	-0.0993	0.04615	11.0	0.0	4.0	1.0	0.0	1.0	0.0	0.0	0.0	2.0
100	750000	2.0	0.7	2.0	1.0	0.0	neutral	point_mutation	0.0	2000	570	1000.0	0.01	0.0	11.0	0.067	0.01127	0.00182	0.58824	3.23	12.0	1.35838	1.10984	1.08168	1.07229	3.68137	3.36842	3.10811	2.91568	0.00016	0.00025	1.51603	1.33492	0.0	0.00035	7.98462	6.11999	5.30549	4.90583	0.00615	0.00603	1.30969	0.18172	0.00395	0.00373	16.7473	13.22743	11.49394	10.50959	1.675	1.88739	0.79187	1.22821	1.67334	1.49403	2.09736	1.85998	0.77723	1.14069	2.0852	2.02736	0.42236	-0.02741	-0.01464	-0.08752	0.41186	0.53333	0.22629	0.65403	-0.51006	0.01681	0.14685	-0.22692	8.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	1.0
